student_number,course,birthdate,nationality,civil_status,gender,municipality,payment_status,balance,has_scholarship,number_of_units_enrolled,academic_probation_status,last_term_GWA
25-2824,Business Intelligence & Analytics (BSBA‑BIA),2003-04-05,Filipino,Single,Male,Rodriguez,Paid,0,False,18,,3.0
25-4257,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-04-15,Filipino,Single,Male,Mandaluyong,Paid,0,False,18,,3.0
25-2674,Business Intelligence & Analytics (BSBA‑BIA),2005-06-20,Filipino,Single,Female,San Mateo,With Balance,12582,False,21,,3.0
25-6925,Cybersecurity (BSCSEC),2001-01-22,Filipino,Single,Male,San Juan,Paid,0,False,24,,3.5
25-7065,Human Resource Management (BSBA‑HRM),2004-12-22,Filipino,Single,Male,San Mateo,Paid,0,False,24,,2.0
25-4598,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-04-27,Filipino,Single,Female,Makati,With Balance,38716,False,21,,3.5
25-8517,Business Solutions & Applications (BSBA‑BSAA),2003-12-18,Filipino,Single,Female,Rodriguez,Paid,0,False,18,,4.0
25-1771,Business Intelligence & Analytics (BSBA‑BIA),2002-11-14,Filipino,Single,Female,Antipolo,Paid,0,False,15,,4.0
25-9797,Human Resource Management (BSBA‑HRM),2005-02-10,Filipino,Single,Female,Antipolo,Paid,0,False,15,,3.5
25-9317,Cybersecurity (BSCSEC),2005-03-18,Chinese,Single,Male,Cainta,Paid,0,False,21,,2.0
25-6038,Business Solutions & Applications (BSBA‑BSAA),2001-02-24,Filipino,Single,Male,Pasig,With Balance,15410,False,21,,3.0
25-4470,Cybersecurity (BSCSEC),2003-12-10,Filipino,Single,Female,Navotas,Paid,0,False,18,,3.5
25-4770,Cybersecurity (BSCSEC),2001-12-21,Filipino,Single,Male,Muntinlupa,Paid,0,True,18,,3.5
25-9834,Business Solutions & Applications (BSBA‑BSAA),2007-04-26,Filipino,Single,Male,Taguig,Paid,0,False,24,,3.0
25-2612,Business Intelligence & Analytics (BSBA‑BIA),2005-02-08,Filipino,Single,Male,Valenzuela,Paid,0,False,15,,2.0
25-2604,Business Intelligence & Analytics (BSBA‑BIA),2000-02-25,Filipino,Single,Female,Malabon,Paid,0,False,15,,4.0
25-7396,Human Resource Management (BSBA‑HRM),2007-05-14,Filipino,Single,Female,Pasig,Paid,0,False,15,,3.0
25-6138,Business Intelligence & Analytics (BSBA‑BIA),2007-09-28,Filipino,Single,Male,Mandaluyong,Paid,0,True,15,,4.0
25-2964,Cybersecurity (BSCSEC),2000-10-03,Filipino,Single,Female,Marikina,With Balance,17821,False,21,,3.0
25-5915,Information Systems (BS‑IS),2001-01-15,Filipino,Single,Male,Makati,Paid,0,False,18,,2.0
25-5002,Human Resource Management (BSBA‑HRM),2007-09-23,Filipino,Married,Male,Imus,Paid,0,False,15,,4.0
25-2891,Business Intelligence & Analytics (BSBA‑BIA),2002-05-10,Filipino,Single,Male,Imus,Paid,0,False,24,,2.0
25-1832,Business Intelligence & Analytics (BSBA‑BIA),2004-01-01,Filipino,Single,Female,Mandaluyong,Paid,0,False,24,,4.0
25-3442,Cybersecurity (BSCSEC),2005-10-18,Filipino,Single,Female,Parañaque,With Balance,38203,False,15,,4.0
25-5088,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-10-24,Filipino,Single,Male,Mandaluyong,Paid,0,False,21,,3.5
25-5065,Human Resource Management (BSBA‑HRM),2001-07-28,Filipino,Single,Male,Navotas,With Balance,38551,False,18,,3.0
25-7528,Human Resource Management (BSBA‑HRM),2001-05-12,Filipino,Single,Female,Manila,With Balance,15851,False,21,restrictions,3.5
25-6139,Information Systems (BS‑IS),2001-07-19,Filipino,Single,Female,Manila,With Balance,32506,False,18,,4.0
25-6409,Cybersecurity (BSCSEC),2001-12-10,Filipino,Single,Female,Pasay,Paid,0,False,18,,2.0
25-3851,Cybersecurity (BSCSEC),2006-09-27,Filipino,Single,Female,Rodriguez,Paid,0,False,24,,4.0
25-8752,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-05-17,Filipino,Single,Male,San Juan,Paid,0,False,18,advising,4.0
25-8784,Cybersecurity (BSCSEC),2001-08-14,Filipino,Single,Female,Malabon,Paid,0,False,15,,2.0
25-2746,Information Systems (BS‑IS),2007-01-18,Filipino,Single,Female,Pasig,Paid,0,False,21,,2.0
25-9270,Information Systems (BS‑IS),2007-03-24,Filipino,Single,Male,Bacoor,With Balance,25879,False,18,,4.0
25-5681,Business Solutions & Applications (BSBA‑BSAA),2005-09-03,Filipino,Single,Male,Caloocan,Paid,0,True,24,,3.5
25-2020,Business Solutions & Applications (BSBA‑BSAA),2006-10-23,Filipino,Single,Female,Malabon,Paid,0,True,21,,3.5
25-7865,Cybersecurity (BSCSEC),2003-08-08,Filipino,Single,Female,Muntinlupa,With Balance,33729,False,18,,2.0
25-9751,Business Intelligence & Analytics (BSBA‑BIA),2000-02-21,Filipino,Single,Male,Quezon City,Paid,0,False,24,,3.0
